Name,Organization,Project
Pierre Voué,"CLiPS, University of Antwerp",Hate Speech Annotation and Automatic Assessment: Resource and Best Practices Development
Lahiru Jayasekara,The Apache Software Foundation,Hazelcast Jet execution engine support for Apache Gora
Eduard Staniloiu,D Programming Language,Header generation for C/C++
Swaraj Hota,FFmpeg,HEIF Support
Ashish Sharma-1,XWiki,Helm chart for XWiki
realsdx,The Honeynet Project,Heralding: RDP and VNC implementation
Brian Merchant,Xi Editor,High performance piet backend
Wyatt Hoodes,Zulip Open Source Project,Hone Zulip's Development Productivity Tooling
Thomas Hervey,OpenStreetMap,HOT Task Manager Integration
Ari Madian,Creative Commons,Human Centered Education of CC Licenses
Jiahuang Lin,Canadian Center for Computational Genomics,Human history and genome evolution project proposal
Nipun Garg,ScummVM,Hyperspace Delivery Boy
Abhinandan Sharma,Python Software Foundation,Icons and EOS web page
Kartikay Bhutani,Python Software Foundation,Icons picker and Custom font generator
AASHNA MITTAL,Public Lab,"Image Sequencer enhancement focusing Module Implementations, Particle analysis and code Maintainability."
Divy Khare,Public Lab,Image-Sequencer v3: Boosting the performance and adding demonstration based on colorimetry
Arpitha Raghunandan,CERN-HSF,Implement a GlobalModuleIndex in ROOT and Cling
Ayush Ranjan Lohani,National Resource for Network Biology (NRNB),Implement a machine-readable graph legend interface
Shreyansh Dwivedi,FOSSASIA,Implement a waitlist for participants and enhance the Admin/User dashboard
Juan Redondo Pizarro,Open Astronomy,Implement an automated model optimization framework in CTLearn
Aditya Arora,Software and Computational Systems Lab at LMU Munich,Implement Cache Allocation Technology in BenchExec
Gagandeep Singh,LibreOffice,Implement Chart Styles
Taapas Agrawal,Python Software Foundation,Implement continue and abort command
SHUBHAM NARLAWAR,GNU Compiler Collection,Implement Csmith fuzzer leveraging GCC C Extensions
Gudesa Venkata Sai Akhil,OSGeo,"Implement Edward Moore's Algorithm, Breadth First Search and Binary Breadth First Search Algorithms in pgRouting"
Mohamed Moanis Ali,CERN-HSF,Implement Event based Seeding and Multi-Threading
Ali Haydar,BRL-CAD,"Implement more annotation support: labels, notes, and dimensions #28"
Tharaka Romesh,SCoRe Lab (Sustainable Computing Research Lab),Implement NodeCloud CLI
Jarek Samic,FFmpeg,Implement OpenCL Deshake Filter
Khalid Riyaz,CloudCV,Implement robust evaluation pipeline in EvalAI
Gaurav Agrawal,GNOME,Implement side by side diff view in Gitg
Nikita Sirgienko,KDE Community,Implement the import/export of Jupyter notebooks in Cantor
Evaldas Latoškinas,MIT App Inventor,Implement Visualization Component
Róbert Vašek,Cloud Native Computing Foundation (CNCF),Implement volume snapshotting support into the external Manila provisioner
Sharad Chitlangia,CERN-HSF,Implementation and Optimisation in ACTS of algorithms exposed in TrackML challenge
John Hartley,gprMax,Implementation of a sub-gridding framework
Surya P,The NetBSD Foundation,Implementation of COMPAT_LINUX and COMPAT_NETBSD32 DRM ioctls support for NetBSD kernel
GatCode,Catrobat,Implementation of missing Bricks for Catrobat Language Version 0.992
Amish Mittal,Rocket.Chat,Implementation of Newsfeed (a social feature) in Rocket.Chat Server
Martin Skrodzki,CGAL project,Implementing a Fast Distance Computation between Triangle Meshes
Shalitha Suranga,The Apache Software Foundation,Implementing an user mentions feature for discussions with additional improvements
Leevi Kerkelä,INCF,Implementing automatic white matter parcellation in Nighres
muhzi,The Honeynet Project,Implementing behavioral analysis for Android
Povilas Gibas,R project for statistical computing,Implementing biodiversity data checks for the bdchecks package
Aniruddha Karajgi,CHAOSS,Implementing CHAOSS Metrics with Perceval
Deifilia To,Haskell.Org,"Implementing Chebyshev polynomial approximations in Haskell: Having the speed and precision of numerics with complex, non-polynomial functions."
Saksham Bansal,mlpack,Implementing Essential Deep Learning Modules
Toshal Agrawal,mlpack,Implementing Essential Deep Learning Modules
Khurai Kim,GNU Compiler Collection,Implementing OpenMP Work Stealing Scheduling
Stephen Ermshar,The Apache Software Foundation,Implementing Parallel Sort Merge Join in AsterixDB
Zhongnian Tao,The Perl Foundation,Implementing the Chinese Encoding for Perl 6
Hemani Kaul,MIT App Inventor,Implementing the Trash Can in MIT APP INVENTOR
Miroslav Koberskii,MariaDB Foundation,Implementing UPDATE with result set
Ferencz Kovács,KDE Community,Import of educational data sets available on the internet
Xuwei Tan,BRL-CAD,Imporve DXF Import and Export Proposal
Stefan Stipanovic,LLVM Compiler Infrastructure,Improve (function) attribute inference
Hideto Ueno,LLVM Compiler Infrastructure,Improve (function) attribute inference
Swarup N,Sugar Labs,Improve and Maintain 25 Sugar Activities
usmanmuhd,Wikimedia Foundation,Improve article recommendation pipeline
Rishav Chakraborty,Oppia Foundation,Improve back-end test coverage and upgrade it to support Python 3
Rahul Singh,FOSDEM,Improve communication with stands and devrooms in Open Source Event Manager
__rohit,Git,Improve consistency of sequencer commands
Omar Ahmad,Blender Foundation,Improve Cycles/EEVEE For Procedural Content Creation
Mehul Prajapati,syslog-ng,Improve Debun tool collected information
Utkarsh1308,coala,Improve Diff Handling
Ilarion Halushka,Rocket.Chat,Improve end-to-end testing infrastructure of React Native client
Shiva Kanth Sujit,52°North Initiative for Geospatial Open Source Software GmbH,Improve enviroCar Android User Interface & User Experience
Bhushan Khanale,coala,Improve Generic Bear Quality
Mayank_Sharma,GNOME,Improve Google-Drive support for GVfs
Vishal Desai,Hydra Ecosystem,Improve hydrus
João Netto,KDE Community,Improve JavaScript support on Okular
Aditya Sood,Kiwix,Improve Kiwix-Android User Experience & Features
Seiya Nuta,LLVM Compiler Infrastructure,Improve LLVM binary utilities
Alexandra Livadas,INCF,Improve LORIS Automated Testing
Urvashi Verma,The Processing Foundation,Improve p5.js unit tests
Bowen Chen,CCExtractor Development,Improve PiPot with new features and Continuous Intergration
Jiradet Ounjai,Android Graphics Tools Team,Improve Shading Language Support in GraphicsFuzz
Kartikeya Goswami,Checker Framework,Improve Signedness Checker
Mairo Rufus,Samba,"Improve smbcmp, the capture diff tool"
Nikhil Mehra,Sugar Labs,Improve Sugarizer Server Dashboard
Govind Dixit,Rocket.Chat,Improve Test Automation in Rocket.Chat Android Repo
Veeki Yadav,FreeType,Improve the 'ftinspect' demo program
Thomas Ip,Zulip Open Source Project,Improve the developer-friendliness of the frontend toolchain
Ankita Mandal,Wikimedia Foundation,Improve the interface of Special:ViewData in the Cargo extension
Tanmay Anand,The Linux Foundation,Improve the pdftoraster filter
Wenzhao Xiang,OpenCV,Improve the performance of JavaScript version of OpenCV (OpenCV.js)
Ahmed Elshreif,LibreOffice,Improve the UI testing DSL and the log files for UI actions
George Roman,Mozilla,Improve WebDriver support in Servo
Hemanth V. Alluri,Zulip Open Source Project,Improve Zulip's Webhooks/Integrations Backend and OpenAPI Systems
Aboelhamd Aly,Apertium,Improve/Extend weighted transfer rules module
jpetit,Open Source Robotics Foundation,Improved Collision Checking for MoveIt
Sanjit Chakrabarti,Amahi,Improved Installation and Home Automation using Hass
Alyaxey Yaskevich,Apertium,Improvement of Annotatrix project
Romit Kumar,BRL-CAD,Improvement of OpenSCAD Text-Editor Features
Sumit Chauhan,LibreOffice,Improvement to Notebookbar
Ankriti Sachan,MIT App Inventor,Improvements in ListView
Giapitzakis Tzintanos G.,SageMath,Improvements of the graph module
Baskin Burak Senbaslar,CGAL project,Improvements of the Surface Mesh Simplification package
Bruno Casteleiro,The GNU Project,Improvements on GNU social's network systems
Mohammed Nafees,Chapel,Improvements to Chapel LLVM Backend
Josh Wood,MuseScore,Improvements to Instrument Changes
Yash Rathore,Zulip Open Source Project,Improvements to the overall user experience and structure of the Web App (and other minor issues)
minraws,Godot Engine,Improvements to Visual Scripting System
Vipul Sharma-1,Zulip Open Source Project,Improvements to Zulip’s Desktop app
Chanchal Kumar Maji,TensorFlow,Improving and adding more functionality to the TensorFlow-Datasets library with the addition of DatasetBuilders for important research datasets.
Albertor,OWASP Foundation,Improving and building Lab challenges and write-ups:
Shubham Kumar Jha,SymPy,Improving Assumptions
Saurabh Thakur,AOSSIE - Australian Open Source Software Innovation and Education,Improving CarbonFootprint-API
Myroslava Romaniuk,Pharo Consortium,Improving Code Completion
championshuttler,Mozilla,Improving Firefox Source Docs Infrastructure
Andika Riyandi (Rizary),Haskell.Org,Improving Hackage Matrix Builder as a Real-world Fullstack Haskell Project
Vijay Tadikamalla,Haskell.Org,Improving HsYAML Library
Vanderson M. do Rosario,QEMU,Improving Measurement of Tiny Code Generation Quality
Mohit-thedeveloperr,Zulip Open Source Project,Improving Message View and Search
Udit Gulati,Ruby Science Foundation,Improving NMatrix: Adding features to NMatrix core
Jorge Martínez Garrido,Open Astronomy,Improving poliastro Earth capabilities
Arighna Chakrabarty,SymPy,Improving Series Expansions
Kanchan Joshi,Internet Archive,Improving site navigation for Archive.org
Sumanth V Rao,Zulip Open Source Project,Improving the Aesthetics and Functionality of Zulip’s Terminal Client.
Hèctor Alòs Font,Apertium,Improving the Catalan-Italian and Catalan-Portuguese language pairs
Bill Dengler,NV Access,Improving the console experience with UI Automation
Mishal Shah,The ns-3 Network Simulator Project,Improving the ns-3 AppStore and linking with bake
Onno Kleen,R project for statistical computing,Improving the R package highfrequency
Upendra Reddy,Rocket.Chat,Improving User Experience with Bots in Android App
Siddhant .,The Vega Project at the University of Washington,Improving Vega Editor
sanketsingh24,The Processing Foundation,Improving WebGL functionality of p5.js
Jason High,The NetBSD Foundation,Incorporation of Argon2 Password Hashing Algorithm into NetBSD
Archit Agrawal,Software Heritage,Increase archive coverage
Stefanos Baziotis,D Programming Language,Independency of D from the C Standard Library
Maximilian Gama,Checker Framework,Index Checker Case Study
Oriol Abril Pla,NumFOCUS,Information criteria and convergence assessment tools for ArviZ
Ayush Dosaj,The Honeynet Project,Injecting function-calls to Linux through a hypervisor
Matheus Richard,Ruby,Integrate functionality from gem-web into RubyGems gem CLI
Aakash Singh,VideoLAN,Integrate JS in VLC
Sidhant Gupta,The Mifos Initiative,Integrate Mifos Payment Hub with GSMA Mobile Money APIs
Andreas Gerstmayr,Performance Co-Pilot,Integrating bpftrace with Performance Co-Pilot and Vector
Shayantan Banerjee,CBMI@UTHSC,Integrating genomics and high-frequency physiologic data for sepsis detection
KAPIL GAUTAM,Rocket.Chat,Integrating Google Calendar with Rocket.Chat
Jan Svoboda,Swift,Integrating libSyntax with the Rest of the Compiler Pipeline
Ziya ERKOÇ,cBioPortal for Cancer Genomics,Integrating PathwayMapper into cBioPortal and Separating the Network View as a standalone module
Debashish Roy,National Resource for Network Biology (NRNB),Integrating RRPlugins with libRoadRunner and devloping Differential Evolution optimizer plugin
Nguyen Hoang Thien,Ardupilot.org,Integration of ArduPilot and VIO tracking camera for GPS-less localization and navigation
Sandip Kumar Bhuyan,FOSSology Project,Integration of Software Heritage in FOSSology
Tommaso Zugno,The ns-3 Network Simulator Project,Integration of the 3GPP TR 38.901 channel model in the ns-3 spectrum module
Saicharan Reddy,FOSSASIA,Integration of Various Payment Gateways and Enhancement of Admin/Account functionalities
Quentin MATILLAT,Blender Foundation,Intel Embree BVH for GPU
Fongang Rodrique,Rocket.Chat,Interactive APIs documentation
Aman Singla,CircuitVerse.org,Interactive Book
Sachin Chopra,aimacode,Interactive Exercises Platform for AIMACode
Daniel Matarov,Godot Engine,Interactive Music for Godot Engine
Shashwat Shrivastava,RoboComp,Interactive RCIS Project Proposal
Nikhil Vats,Open Bioinformatics Foundation,Interactive Yeoman generator for BioJS components
Naomi Pfaff,Catrobat,Interesting Female Teenagers in Coding Through the Use of a Well-designed Serious Game
Igor Almeida Baratta,NumFOCUS,Interface to KaHIP partitioner
Ankur Kumar,InterMine,Intermine Cloud: Making Intermine cloud native and easing deployments
deepak,InterMine,InterMine Schema Validator
Rahul-07,InterMine,InterMine single sign-in
Sharad Shukla,The Linux Foundation,IPP: ipptool test suite updates for IPP errata updates
Aakash Lahoti,The Linux Foundation,ipptool test suite for IPP System Service
Urvil Patel,Cloud Native Computing Foundation (CNCF),IPTables Integration with  OPEN POLICY AGENT(OPA)
Aditya Samantaray,R project for statistical computing,IREGNET on CRAN
Rashad Gover,Haskell.Org,Issue-Wanted Web Application
Akshat Bhargava,InterMine,Javascript Data Visualisations
Renato Aurelio Totti,Liquid Galaxy project,JavaScript library for data simulation and acquisition
Valentin Ionita,Inkscape,JavaScript Polyfills
Pantelis Tzamalis,JBoss Community,JBoss - Release Notes Generation Tool
Shyngyskhan Abilkassov,JdeRobot - Universidad Rey Juan Carlos,JdeRobot’s Robotics Academy: Amazon Warehouse Robots exercise integration
hrxi,XMPP Standards Foundation (XSF),Jingle File Transfer Support for Dino
Stefan Bechert,Institut für Angewandte Informatik (InfAI) e.V.,Jira plugin for jQAssistant
Fares Mehanna,apertus° Association,JPEG 1992 lossless encoder core
Jiacheng Xu,TensorFlow,JSON Dataset Reader - TensorFlow I/O
Akhilesh Kumar,MetaBrainz Foundation Inc,JSON Web API for BookBrainz
Guilherme Bodin,NumFOCUS,JuMP Automatic Dualization
Xiao Xiao,CGAL project,K-DOP tree
Brooks Karlik,CERN-HSF,Kalman Filter in Rust
Inoki,KDE Community,KDE Connect for macOS port
Piyush Aggarwal,KDE Community,KDE Connect for Windows
Farid Boudedja,KDE Community,KDE ISO Image Writer
Franciszek Górski,Internet Systems Consortium,Kea statistics enhancements
Costin Carabaș,FreeBSD,Kernel sanitizers
SonGeon,KDE Community,kmarkdown-qtview with WYSIWYG markdown editor
Themistoklis Spanoudis,AerospaceResearch.net,Ksat: Visualizing multi-dimensional evolution on system and subsystem level
Vineeth Pothulapati,The Postgres Operator,Kubectl Plugin For Postgres Custom Resource Definitions
Junjun LI,Cloud Native Computing Foundation (CNCF),Kubernetes with hardware devices topology awareness at node level
Tushar Varshney,SCoRe Lab (Sustainable Computing Research Lab),LabelLab
Abhishek Sharma,OWASP Foundation,Laying down base architecture
Ronit Jorvekar,RoboComp,Learning acceptable social behaviour using machine learning techniques
Vaibhav Kansagara,Xapian Search Engine Library,Learning to Rank Stabilisation
Xavier Weber,OpenCV,Learning-based Super Resolution
Jaeweon Shin,Python Software Foundation,LiberTEM : Distributed algorithms for dimensionality reduction methods on scanning transmission electron microscopy (STEM) data
Karina,Python Software Foundation,LiberTEM: Development of the pipeline for crystallography analysis including GUI development
Alex Brachet,LLVM Compiler Infrastructure,libObjectcopy
Alexey Andreyev,Matrix.org,LibQMatrixClient end-to-end encryption support
Joan Pascual Sanahuja,freifunk,Library to export/import public datasets to Retroshare network
Kartik Kumar,BRL-CAD,LibreCAD 3 OpenGL Rendering
Rasmus Jonsson,LibreOffice,LibreOffice Appliances
Kaishu Sahu,LibreOffice,LibreOffice for Android(Online)
darshan3,The Terasology Foundation,Light And Shadow Remastered
Gray Olson,appleseedhq,Light Paths Visualization and Viewport Unification
Madeleine Goebel,The Perl Foundation,Linking Perl 6 Programs
Moulik Aggarwal,Salesforce,Linter for oclif
Sreyas,Liquid Galaxy project,Liquid Galaxy Controller Application Redesign
Ivan Colomer Vallejo,Liquid Galaxy project,Liquid Galaxy For Education
Rijul Saini,The Eclipse Foundation,Live Synchronization Skeleton for CoEditing in Che and Theia
Kautilya Tripathi,Rocket.Chat,Livechat: Real-Time Visitor Monitoring
Reshabh Sharma,Free and Open Source Silicon Foundation,LLVM Code Generation for RISC-V Open Source GPU
Ilario Gelmetti,freifunk,Load-correlated distributed bandwidth analysis for LibreMesh networks
TAWRUN VANKINEENI,OpenMRS,Location based Access Control - Phase 2
Deepak Singh Rathore,LuaRocks,Lua graphing library
Brandon Escamilla,AerospaceResearch.net,MaaS (Molto-IT as a Service)
Shivank Garg,FreeBSD,MAC policy on IP addresses for FreeBSD Jail
Insiyah Hajoori,"Biomedical Informatics, Emory University",Machine Learning Model Support for Digital Pathology
Aditya Malshikhare,Libre Space Foundation,Machine Learning on Health- Keeping Telemetry for Cubesat Awareness and Diagnostics
Debanjana Kar,FrameNet Brasil at the Federal University of Juiz de Fora,Machine Translation Metric leveraging FrameNet
Rajdeep Bharati,MacPorts,Macports Custom Views Plugin for Buildbot
Deeraj Esvar R,The Processing Foundation,"Maintenance of Android mode: SDK downloader/updater, emulator, library structure"
akshatg,GNU Compiler Collection,Make C/C++ not automatically promote memory_order_consume to memory_order_acquire
SHIVANSH BINDAL,Wikimedia Foundation,Make notification counts update without page reload
Yasith Jayawardana,The Apache Software Foundation,Make OODT Deployment Simple Using Docker and Distributed Configuration Management
Necip Fazil Yildiran,CGAL project,Make OpenGR be able to work directly with CGAL point clouds
Matheus Tavares,Git,Make pack access code thread-safe
Jacob Garber,coreboot,Making Coreboot Coverity Clean
Mehant Kammakomati,SCoRe Lab (Sustainable Computing Research Lab),Making Installation of Bassa and Containerize in a Better Way
Abhinav Khare,FOSSASIA,Making nextgen of Open Event Production ready for Eventyay
Fawad Ali,XWiki,Map Application
Divya Baid,Public Lab,Mapknitter Image Management and Synchronous Editing
Kaustubh Nair,Public Lab,Mapknitter Rails upgrade
Álax Alves,Public Lab,Mapknitter Rails Upgrade
Vidit Chitkara,Public Lab,Mapknitter synchronous editing
Fenil Mehta,OSGeo,MapMint - porting from Python 2.x to Python 3.x
Mateusz Mandera,Zulip Open Source Project,Mateusz Mandera - various backend work
Eisha Chen-yen-su,Matrix.org,Matrix Visualisations
Akshath Singhal,Ardupilot.org,MAVProxy GUI and module development
Lakshya A Agrawal,INCF,Maxima to Python Translator
Kumar_Saurabh,PEcAn Project,Meta-Data Upload Interface
Mayant Mukul,The Terasology Foundation,Metal Renegades - Multiplayer Implementation
AndyTechGuy,The Terasology Foundation,Metal Renegades: Initial World Implementation
Pranav Tharoor,Canadian Center for Computational Genomics,MiCM Project Match
Zach Zheng,Free and Open Source Silicon Foundation,Microarchitectural enhancement of Ariane
PRASHANT KHANDELWAL,The Mifos Initiative,Mifos Mobile - Android App Version 4.0
abhaychawla,The Mifos Initiative,Mifos X Web App Angular 6 Rewrite
Jivjyot Singh,The Mifos Initiative,Mifos X Web App Angular 6 Rewrite
Abhijit Ramesh,The Mifos Initiative,mifos-mobile-cn
Anshul Singh,The Mifos Initiative,Mifos/Fineract Chatbot & Adapter 2.0
Prabodh Kotasthane,InterMine,Migrate RESTful web services from Struts to Spring
Shivesh Khaitan,Open Source Robotics Foundation,Migrating Gazebo plugins to ROS2
Nikhil Khedekar,JdeRobot - Universidad Rey Juan Carlos,Migration of drone excercises to ROS
Pankhuri Vanjani,JdeRobot - Universidad Rey Juan Carlos,Migration of JDEROBOT tools to ROS2
Ander Juaristi Alamos,Netfilter project,Missing feature implementation in nftables
Jaromír Wysoglad,ScummVM,Mission Supernova 2 engine
Anveshan Lal,Python Software Foundation,Mission Support System : Updating Geographical Plotting Routines
Shivashis Padhi,Python Software Foundation,Mission Support System: Collaborative editing of flight path in real-time
Sreenik Seal,mlpack,mlpack-Tensorflow Translator
Stefan Appelhoff,Python Software Foundation,MNE-Python: Automatic processing of neurophysiology datasets organized using the Brain Imaging Data Structure (BIDS)
Dirk Gütlin,Python Software Foundation,MNE-Python: Improve Time Frequency Analysis in Source Space
Udesh Kumarasignhe,SCoRe Lab (Sustainable Computing Research Lab),Mobile App for LabelLab
Shivansh Tiwari,The Mifos Initiative,Mobile Wallet - Android App Version 3.0
Aleksandra Teska,INCF,Model Fitting
David Nagy,The Eclipse Foundation,Model Visualization for App4MC
Stefan Dvoretskii,INCF,Modeling Neural Development with Braitenberg Vehicles
Robert Gordon,VideoLAN,Modernize VLC-iOS UI and UX designs
Ashar Khan,Boost C++,Modifying (Smart) Expression Templates
"Tejas ""majordwarf"" Tank",The Terasology Foundation,Module Showcase Website!
Himanshu Sahu,CERN-HSF,Molr - Operational
Luofeng Liao,R project for statistical computing,MoMA - Modern Multivariate Analysis in R
Pujan Mehta,CERN-HSF,Monitoring DIRAC Components
Vasily Alferov,Haskell.Org,More graph algorithms for Alga
Naruki Yoshikawa,Open Chemistry,More Improved Coordinate Generation for Open Babel: Combining Fragment-based Method and Distance Geometry
DestinyGamer,Godot Engine,Motion Matching Implementation Using Kd trees
Parichay Barpanda,Jenkins project,Multi-branch Pipeline support for Gitlab
Shahriyar Mammadov,Cloud Native Computing Foundation (CNCF),Multi-mesh performance benchmark tool
E. P. Hackett,FrameNet Brasil at the Federal University of Juiz de Fora,Multi-modal Annotation Tool
Dwaraknath Gnaneshwar,DBpedia,Multilingual Neural RDF Verbalizer for DBpedia
Sasi Kiran Bhimavarapu,Red Hen Lab,Multimodal Show Segmentation
Sagar Sagar,Cuneiform Digital Library Initiative (CDLI),Multiple Layer Annotations Querying
abdelhakeem,Neovim,Multiprocessing Feature
Vansika Pareek,MetaBrainz Foundation Inc,Music recommendation system: Collaborative filtering using Apache Spark
Ayushk4,The Julia Language,Named Entity Recognition and Part-of-Speech APIs and models
Deepesh Thakur,The Julia Language,"Native Julia ODE, SDE, DAE, DDE, and (S)PDE Solvers"
Avakash Bhat,Named Data Networking Project,NDN Redefining MailSync
Swayamjeet swain,Pitivi,Nested Timelines/Projects
KuTuGu,OpenWISP,NetjsongraphJS: based on canvas and geographic data
Diparth Shah,The Center for Connected Learning and Computer-Based Modeling,NetLogo Compiler: Implementing Peephole Optimizations
Ravneet Punia,Cuneiform Digital Library Initiative (CDLI),Neural Machine Translation for Sumerian and English
Akshaj Verma,R project for statistical computing,Neural Network Package Validation 1
Salsabila Mahdi,R project for statistical computing,Neural Network Package Validation 2
Rahul Ganesh Prabhu,mlpack,NeuroEvolution of Augmenting Topologies & Multi-Objective Optimization
Nikhil Ghodke,National Resource for Network Biology (NRNB),New Build System for InSilico
Smiljana Knezev,Pharo Consortium,New Collections for Pharo
Paul Ouellette,LuaRocks,New command line argument handling and auto-completion for LuaRocks
José Manuel Agúndez,RoboComp,New examples and scenarios for swarm robotics in RoboComp
Yoshiaki Nishimura,Kapitan,New features for Kapitan
Nitish Bahl,Joomla,New frontend template: Page-builder
Marton Zeisler,Amahi,New iOS App Features
Mauro Carlevaro,OSGeo,New rules for the Topology Framework in gvSIG Desktop
Eric Monné Mesalles,Liquid Galaxy project,New tools for the liquid galaxy
Akshat Karani,coala,Next Generation Action System.
Dayne Guerra Calle,Pharo Consortium,Next Generation Unit Testing
Rituka Patwal,KDE Community,Nextcloud Integration on Plasma Mobile
Hanliang Zhang,The Java Pathfinder Team,NFix
Rohan Sharma,OpenMRS,Nigeria TeleMedicine App
Nikhil Pinnaparaju,Pharo Consortium,NLP Library for Pharo
Rishabh Singh,SCoRe Lab (Sustainable Computing Research Lab),NodeCloud Provider Implementation - DigitalOcean & AliCloud
glamountain,GNSS-SDR,Nonlinear State Estimation for Carrier Synchronization in GNSS-SDR
Vinit Singh,Zulip Open Source Project,"Notification Panel, LDAP Integration Fixes & other UI changes."
Alfonso,CERN-HSF,Novel Applications of Zstandard (ZSTD) compression algorithm to ROOT
Taofeng(Tommy) Li,Python Software Foundation,Nuitka support for PyPI top 50
Batakrishna Sahu,Python Software Foundation,Nuitka: All Python built-ins optimized for Nuitka
the1derer,Checker Framework,Nullness Checker Case Study on Bazel Build tool
jlut,VideoLAN,NVDEC hardware acceleration support
Graham,The Apache Software Foundation,Object-relational Mapping Migration
Demezhan Marikov,Project PANOPTES,Observatory Dependency Decoupling
Poulami Sarkar,Red Hen Lab,"OCR for Chinese, Arabic, Hindi,Urdu,Bengali"
Andrew Cvekl,cBioPortal for Cancer Genomics,OncoKB Analysis in Study View
Akshay Kumar,KDE Community,One step closer to version 1.0
CajetanRodrigues,The Mifos Initiative,Online Banking App 3.0
Aymen Naghmouchi,Developers Italia,OpenAPI V3
MANISH AGRAWAL,gprMax,OpenCl Accelerated FDTD Solver for gprMax
Konstantinos Andrianos,Kodi Foundation,OpenGL back-end for RetroPlayer’s shaders
withan,SCoRe Lab (Sustainable Computing Research Lab),OpenIoE - Implement authentication for message broker and rest API for OpenIOE
dande9304,SCoRe Lab (Sustainable Computing Research Lab),OpenIoE - Implement User Interface for OpenIoE
Deepak Prasad,OpenMRS,OpenMRS Android Client Project 2.7+
Sai Sandeep,OpenMRS,OpenMRS Atlas 3.1 Project
tchaddad,OpenStreetMap,OpenStreetMap - Implement Add Wikidata to Nominatim
Sudhanshu Gautam,freifunk,OpenWrt Firmware Wizard
Vinamra Bhatia,The Honeynet Project,Operating System Fuzzing With a Hypervisor: OSFuzz
Ajinkya Rajput,The Honeynet Project,Operating-system fuzzing with a hypervisor
Rishabh Chaudhary,The Libreswan Project,Opportunistic IPsec development using LetsEncrypt
Lucas Ventura,GNSS-SDR,Optimal Frame Synchronization Detection
Anuraag Srivastava,R project for statistical computing,Optimal partitioning algorithm for changepoint detection
Ishan Rai,CERN-HSF,Optimisation of the Ganga toolkit in terms of memory consumption and persistent storage.
Fahrican Koşar,SymbiFlow,Optimization of VPR File Formats
Junhyung Ki,The Eclipse Foundation,Optimizing Heterogeneous Systems through Quality Evaluation (Eclipse APP4MC Topic 5: CPU-GPU Response Time and Mapping Analysis)
Dubey Abhishek,CRIU (Checkpoint/Restore in User-space),Optimizing the pre-dump algorithm
Vidhan Arya,AerospaceResearch.net,OrbitDeterminator: Community Observation Input of Many Station Locations
Rakshit Bhatt,AerospaceResearch.net,OrbitDeterminator: Community Observation Input of many station locations.
Abhishek Singh,Earth Science Information Partners,OrcaCNN: Detecting and Classifying Killer Whales from Acoustic Data
Demetri Pananos,NumFOCUS,Ordinary Differential Equations
Divyanshu Sharma,AOSSIE - Australian Open Source Software Innovation and Education,Origin Essentialism (Computational Metaphysics)
Nathan Craddock,Blender Foundation,Outliner Improvements
Devid Farinelli,webpack,Output Reporter
DHIREN DEVINDER SERAI,OWASP Foundation,OWASP Honeypot GSOC 2019
Arpit Agrawal,OWASP Foundation,OWASP Juice Shop: Feature Pack 2019
Mohit Sharma,OWASP Foundation,OWASP OWTF-Web Interface Enhancements
Azhar Ahamed,OWASP Foundation,OWASP Risk Assessment Framework
Junfan Huang,OWASP Foundation,OWASP Seraphimdroid
HemantJ,OWASP Foundation,OWASP SKF – Enhancing user experience on chatbots
Oskar Garcia,The Processing Foundation,P5 Math in Motion
Alexandra Cheng,The Processing Foundation,P5 Math in Motion
Jiwon Shin,The Processing Foundation,p5.serial library update
L05,The Processing Foundation,p5.touchgui
utkarsh2102,Debian,Package Loomio for Debian
Akash Ravi,CERN-HSF,Package manager for Jupyter Notebook / SWAN
AyushJain0402,AboutCode.org,Packaging  and Docker Image Creation
FancyFranci,Joomla,PageBuilder for Joomla 4.0
Anand H,MuseScore,Palette Accessibility
Christopher He,Python Software Foundation,Panda3D: Adding Features to the Collision Detection System
Donny Lawrence,Python Software Foundation,Panda3D: iOS Support
Yawei Ge,R project for statistical computing,Parallel Coordinate Plots in ggplot2
Manish Thakur,The Java Pathfinder Team,Parallel implementation of Java Pathfinder Project
Giuliano Belinassi,GNU Compiler Collection,Parallelize GCC with Threads
Rishav Rakshit,OpenMRS,Patient Flags Module OWA
Rushikesh Chaudhari,OpenMRS,Patient Search Criteria
Miroslav Foltýn,Performance Co-Pilot,PCP PMDA Agent for StatsD in C
Aditya Aggarwal,RoboComp,People identification component for the EBO educational robot
jasmaa,aimacode,Perception - Early Image Processing Operations
Kanav Gupta,The Julia Language,Performance Enhancements and General Fixes
Favour Kelvin,Sugar Labs,Performance in musicblocks
Joel Dale Schüller,The Perl Foundation,Perl 6 - Documentation Tooling Revamp: p6doc
Yosry Ahmed,PostgreSQL,pgAdmin 4 Query Tool Automatic Mode Detection and Enhancements
Ahmad Satryaji Aulia,MacPorts,Phase Out Xcode Dependency
Millan Castro,Pitivi,Pitivi: Timeline Interval System
Nidhi Kumari,Digital Impact Alliance,Platform React JS Migration
Alok Kumar Singh,Python Software Foundation,Plone :-  GatsbyJs Preview for plone
Karan Pratap Singh,Python Software Foundation,Plone: Guillotina API Evolution
Amol Grover,coala,Plugin for Jetbrains IDEs
Victor Ma,syslog-ng,Plugin Programming Guide with Examples
