Name,Organization,Project
kshi219,2PSP.org,Implementation of Endpoint Masquerading Set of Rules
shubhamtibra,ymPy,Implementation of Holonomic Functions in SymPy
ABelov, project for statistical computing,Implementation of hyperspectral unmixing algorithms for unimixR package
anurag_rai,imacode,Implementation of Module on Logic (Chapters 7 – 9) for 4th Edition
tex,eam Community,Implementation of Real-time Statistics in Zotonic
Yuqi Li, project for statistical computing,Implementation of Recurrent Models and Examples in R for MXNet
Sampad Kumar Saha,ymPy,Implementation of Singularity  Functions to solve Beam Bending problems
Joel Fuentes,ERN SFT,Implementation of task-based transport for GeantV
Enric Juan,nss-sdr,Implementation of the BeiDou signal tracking block for the GNSS-SDR Project
Suyash,erformance Co-Pilot,Implementation of the PCP instrumentation API in golang
itegulov,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Implementation of theorem prover based on Skeptik's data structures and Conflict Resolution algorithm
pandusonu,NOME,Implementation of week view in GNOME Calendar
sczyh30,ert.x,Implementation of “blueprint” Vert.x applications and detailed documents
Lukas Stockner,lender Foundation,Implementing a Denoising Filter in Cycles
Omkar Reddy,pache Software Foundation,Implementing a Python Utility Library for accessing PO.DAAC NASA JPL
luyikei,ideoLAN / VLMC Project,Implementing a sandboxed rendering engine and a remote UI
TDWilkinson,penAstronomy,Implementing AIA response function in Sunpy
Nishant Nikhil,ymPy,Implementing Finite Fields and Set module in SymEngine
sahmed95,ython Software Foundation,Implementing Intra Voxel Incoherent Motion (IVIM)  techniques in Dipy
Azorpid,ibreOffice,Implementing legacy SAX  parser Interface with FastParser
avg206,EMU,Implementing one more absolute coordinates device for QEMU – a serial tablet with behaviour like usb-tablet we use to get mouse integration
g_unis,eam Community,Implementing op-based CRDTs in Lasp
Gabriel_unname,reifunk,Implementing Pop-Routing
creativcoder,ozilla,Implementing Service Worker Infrastructure in Servo Browser Engine
Tharindu Ranathunga,ustainable Computing Research Group ( SCoRe ),Implementing the tracker front end
Rishabh Saxena,penSUSE,Implementing Ticket payment feature for OSEM
Niroshan,SGeo - The Open Source Geospatial Foundation,Implementing WPS for Geopaparazzi field data collection tool using ZOO-Project: Simplifying integration of field data and GIS
Saurabh,iviCRM,Import from Google Sheets
MridulS,ational Resource for Network Biology (NRNB),Import graphs in multiple formats and Cytoscape files into GraphSpace
dokato,nternational Neuroinformatics Coordinating Facility,Importing and exporting simulator-independent model-descriptions with the Brian simulator
Manan Wason,OSSASIA,Improve and enhance the Open Event system
Nanduni,DE,Improve categorization and search on Inqlude web site
Ani,eph,Improve Ceph’s Python Infrastructure
Gabriel Gatu,eam Community,Improve ejabberd configuration and extensibility with configuration DSL
Dhaval Kapil,abLua,Improve elasticsearch-lua tests and builds
Anuj Garg,Boss Community,Improve existing Android client of Hawkular
Anupam Das,uildmLearn,Improve existing BuildmLearn Toolkit app and add new templates to it.
Shalom Rachapudi David,penSUSE,Improve One-Click Installer
Dinanjana,SO2,Improve production system debugging capabilities of WSO2 ESB (ESB Flight Recorder)
Vardan Mikayelyan,eactOS,Improve ReactOS USB stack.
Pranav Ganorkar,NOME,Improve Search Functionality in GNOME Logs
psincraian,Fmpeg,Improve selftest coverage
Siddhant085,OSSASIA,Improve sTeam
Niranjan R,OSSASIA,Improve the Open Event Organizer Server and implement missing features
MNave,pen Bioinformatics Foundation,Improve the prediction for RiPP clusters
msfernandes,penSUSE,Improve the UI of Portus
Akarshit Wal,he Center for Connected Learning and Computer-Based Modeling,Improve the usability of NetLogo IDE for Desktop
Rares-Mihail Visalom,NOME,Improve the user experience for new and existing users
Ajinkya Wavare,OSSASIA,Improve tooling for sTeam collaboration platform
ubap,ibreOffice,Improve user experience with Table Styles
João Reys Santos,oomla!,Improved multi-lingual content management‏
Zabot,penStreetMap,Improved Shaders for OSM2World
wlong799,anadian Centre for Computational Genomics (C3G) - Montreal node,Improved Tools for Genetic Diversity Modelling
VladX,penCV,Improvement of the dense optical flow algorithm
ftsamis,ARDIS-SN,Improvement of the TARDIS configuration system
groman,he LLVM Compiler Infrastructure,Improvement of vectorization process in Polly
João Araújo,lender Foundation,Improvements for Bezier Curves
ciechowoj, Foundation,Improvements for dstep.
HarshV,erkman Center for Internet and Society,Improvements for Question Tool
vivekk,TEMS Project,Improvements in the RTEMS Trace Framework
hugomg,SCEND,Improvements to the Conditional Modeling Syntax
Punyaslok Pattnaik,penAstronomy,Improvements to the SunPy Database
Abdelrhman Ahmed,ozilla,Improving and expanding the JavaScript XMPP Implementation
Chirag Arora,omputational Science and Engineering at TU Wien,Improving and Porting Carbon Footprint for Google Maps to Safari and Firefox
pjoshi,lone Foundation,Improving collective.easyforms
rhnvrm,pache Software Foundation,Improving Discussion Threads and UI/UX of Apache Allura
sim590,ebian Project,Improving distributed and secure communication using free software
canihavesomecoffee,CExtractor Development,Improving GitHub CI
AwesomeMike,SCEND,Improving GUI and functions of Graphical flowsheet editor
Soothsilver,ava Pathfinder Team,Improving JPF Inspector
Fabian Freyer,reeBSD,Improving libvirt support for bhyve
cryptomanic, project for statistical computing,Improving markovchain R package
dufferZafar,he Honeynet Project,Improving mitmproxy
hpfmn,useScore,Improving playback in MuseScore
abstatic,anadian Centre for Computational Genomics (C3G) - Montreal node,Improving SegAnnDB genomic segmentation app
Lethe,ikimedia Foundation,Improving static analysis tools for MediaWiki
rohangoel96,BioPortal for Cancer Genomics,Improving the clinical timeline of cBioPortal's patient view
lynnlyc,he Honeynet Project,Improving the coverage of DroidBot
Shubham Rajput,oomla!,Improving the menu item workflow in Joomla
MattG,abLua,Improving the Quality of Error Messages in PEG Parsers
pkofod,umFOCUS,Improving the state of Optim.jl
Rishubh Jain,cilab Enterprises,Improving UI-Elements
PranavJain,ebian Project,"Improving voice, video and chat communication with free software"
JonathanJson,ebian Project,"Improving voice, video and chat communication with free software"
Mesut Can Gurle,ebian Project,"Improving voice, video and chat communication with free software"
udit043,ebian Project,"Improving voice, video and chat communication with free software"
Metin Can Siper,ational Resource for Network Biology (NRNB),Improving Web Based SBGN Editor SBGNViz.js
Nik Vaessen,ebian Project,"Improving WebRTC, Apache Camel and Jitsi"
jkinnison,pache Software Foundation,In-Situ Simulation Management and Analysis Using Apache Airavata
robertgc,etfilter project,Increasing the adoption of nftables by finishing the iptables-translate tool
kushalsingh007,hapel,Incremental Compilation
Pranit Bauva,it,Incremental Rewrite of Git Bisect
Reynaud Nicolas,ebian Project,Indexation over a distributed network
Peng_Xu,bpediaspotlight,Inferring infobox template class mappings from Wikipedia + Wikidata
Balasankar C,ndic Project,Inflection aware spell checker for Malayalam
Stefan Florea,"iomedical Informatics, Emory University",Information Visualizations using Datascope
eszka,ibreOffice,Infrastructure for defining toolbars via .ui (Glade) files
Tin Duong,he Honeynet Project,Integrate DroidBOT into Cuckoo Sandbox
ajalan065,rupal,Integrate Google Cloud Vision API to Drupal 8
diadatp,owRISC,Integrate more open-source IP for lowRISC on FPGAs
Tushar Dubey,anadian Centre for Computational Genomics (C3G) - Montreal node,Integrate structural variants calls in the tumor_pair pipeline from MUGQIC Pipeline
icodemachine,opyleft Games,Integrated Development Environment for PySoy
merci mukwe,iviCRM,Integrating CiviCRM with Zapier
MohmmadAyman,pen Source Robotics Foundation,integrating gazebojs with gzweb into gazebow.
Attila Bagoly,ERN SFT,Integrating Machine Learning in Jupyter Notebooks
jlicht,NU Project,Integrating npm into the Guix ecosystem
wmaroy,bpediaspotlight,Integrating RML in the Dbpedia extraction framework
woodruffw,omebrew,Integrating ruby-macho fully into Homebrew and removing external dependencies on install_name_tool/otool entirely
Mukarram,nitex/GramLab,Integration of Classic IDE and Project-oriented IDE
pambot,BioPortal for Cancer Genomics,Integration of Proteomics Data to cBioPortal
gdphys,ERN SFT,Integration of Spark parallelisation in TMVA
JanIdziak, project for statistical computing,Integration of Text Mining and Topic Modeling Tools
Abhishek Tiwari,SO2,Integration Test Framework for WSO2 Dockerfiles
shubhamkmr,omputational Biology @ University of Nebraska-Lincoln,Interactive Platform for Statistical Computing
mgtlake,he Julia Language,Interactive Tutorial System for Julia and Juno
krassowski,pen Genome Informatics,Interactive visualisation framework for genome mutations in gene and protein networks
tramy,ational Resource for Network Biology (NRNB),Interconversion between the systems biology modeling formats SBML and BioPAX
Kaito,ational Resource for Network Biology (NRNB),Interconvertible Layout program for CellDesigner
Daniel H,clipse Foundation,Interface to send additional requested data for Eclipse Automated Error Reporting Initiative
jiteshjha,ublic Lab,Internationalization of Publiclab.org
Vivek Pandya,he LLVM Compiler Infrastructure,Interprocedural Register Allocation in LLVM
avyavkumar,SGeo - The Open Source Geospatial Foundation,"Introduce Triangulated Surface, Polyhedral Surface and Triangle API in the OGRGeometry core and implement their support in OGR drivers for GDAL"
frankier,he Apertium Project,Investigation of new ways to combining Constraint-grammar and apertium-tagger & a new averaged perception based tagger
tharidu,ustainable Computing Research Group ( SCoRe ),IoT middle-ware platform
Thilanka Munasinghe,IT Media Lab,IoT: Raspberry Pi Integration with MIT App Inventor
skbly7,erkman Center for Internet and Society,IPFS friendly & distributed version of Amber
Prabhjyot Singh Sodhi,map Security Scanner,IPv6 OS detection
Luka G.,SGeo - The Open Source Geospatial Foundation,istSOS Web API
Karan Saxena,ython Software Foundation,Italian Mars Society (IMS) Proposal: Improving the Step Recognition Algorithm for V-ERAS
Aakash Rajpal,ython Software Foundation,ITALIAN MARS SOCIETY: IMPLEMENTATION OF AN INTERACTIVE HEADS UP DISPLAY FOR OCULUS RIFT FOR THE V-ERAS SIMULATION ENVIRONMENT
Shridhar Mishra,ython Software Foundation,Italian Mars Society:Integration of Unity Game scene with the existing pyKinect and emulate a moving skeleton based of the movements tracked by the Kinect sensors.
Upekshe Jayasekera,uby,Java ByteBuffer Support for Nio4r
Octarine,ava Pathfinder Team,Java PathFinder for Android Devices
Piotr Moczurad,cala,Java source code to Scala.js IR compiler
Hovakim Grabski,ational Resource for Network Biology (NRNB),"Java support for Deviser, a code generation system for SBML libraries"
djkevincr,pache Software Foundation,JCache DataStore Implementation for Apache Gora
AbrahmAB,ugar Labs,Journal Rethink : Abhijit
connor,Query Foundation,jQuery Learning Center
cricri,pache Software Foundation,JSONiq Support to Apache VXQUERY
IvanLakhtanov,DE,Julia Backend for Cantor
Mirage,clipse Foundation,JUnit and TestNG Test Runner Plugin for Eclipse Che
Vithulan,he syslog-ng project,Kafka source for syslog-ng
kupy,DE,"KDE Edu, LabPlot- Project: theme manager for plots"
g33kyaditya,DE,KDE Now
joejoshw,DE,Kdenlive: Windows and OSX Port
PatrickElectric,DE,KDevelop Integration with Arduino and embedded development
Aetf,DE,KDevelop: LLDB Support
erdmanae,entoo Foundation,kernelconfig
Tomasito665,ixxx DJ Software,Key mapping GUI
Kuldeep Singh,ython Software Foundation,Kivy: Plyer
udiboy1209,ython Software Foundation,Kivy: Tiled Integration with KivEnt
DenisKarpenko,olibriOS,KolibriOS. Development of TLS/SSL library
polaris,DE,KStars Lite
Raphael Cojocaru,DE,KStars on Windows
mgokirmak,he Apertium Project,Kurmanji (Kurdish)-English MT
AnuMittal,DE,LabPlot: Adding histogram and bar chart.
imSreenadh,ndic Project,Language model and Acoustic model for Malayalam language for speech recognition system in CMU Sphinx
Naiyun Zhou,tony Brook University Biomedical Informatics,Large scale image viewing/editing module in 3D Slicer
Severin,lender Foundation,Layer Manager
ayshtmr,apian Search Engine Library,Learning to Rank Stabilisation
den4ix,entoo Foundation,libebuild
Petru Gurita,NU Project,Liberty Eiffel meets Windows
jerin,ndic Project,LibIndic Improvements
Dashhh,reeBSD,libnv improvements
jmigual,ixxx DJ Software,Library Layout Redesign
OrkoHunter,imelab Technologies Ltd.,Library of Time Series methods
davidhas,erkman Center for Internet and Society,LibraryBox iOS App
Feragon,RL-CAD,LibreCAD 3 Scriptable User Interface Creation
Gaganjyot,RL-CAD,LibreCAD V3 Beziers and File I/O Support
Akshay Narasimha,cGill Space Institute,Lightcurve modelling with Icarus
Pubudu Dodangoda,pen Genome Informatics,Lightweight chat plugin for the JBrowse genome browser
starrynte,NU Project,Lilypond - Allow spanners to cross voices
Jaipal,he Apertium Project,Lint For Apertium
Cristina-Gabriela Moraru,he Linux Foundation,Linux Kernel Backports
Devi Krishnan,ikimedia Foundation,List Of Contributors
armalcolite,etaBrainz Foundation,ListenBrainz: A submission API compatible with Last.fm scrobblers
andrew wells,he Linux Foundation,LLVMLinux: Static Analysis
Omid Rezvani,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Local Community Detection Search Using a Conceptual View
Sudheesh Singanamalla,OSSASIA,Loklak apps/microservices to the open tweet platform loklak.net and IoT integrations using the loklak backend
Damini Satya,OSSASIA,Loklak: IoT prototypes and a loklak backend systems
Mudit Jain,TEMS Project,Low Level Peripherals & SD Card Support for Raspberry Pi
Mikhail Kraev,he Linux Foundation,LSB Navigator
tctara,DE,LUKS & LVM support for Calamares & KDE Partition Manager
Vincent Dumont,map Security Scanner,Mac OS X platform developer
Timothy Sum,WASP Foundation,Machine Learning Trend Monitoring Analysis Engine for AppSensor
Uliana Sentsova,he Apertium Project,Machine Translation for Sicilian-Spanish Language Pair
Irshad,ndic Project,Machine Transliteration
allenzhao,uby,Maintain Bundler: a very popular and widely-used open source project
Boggs,uby,Maintain Bundler: a very popular and widely-used open source project
Acharya, project for statistical computing,Major Improvements to the factorAnalytics package
vivekanand,edora Project,Make pagure adaptable for pkgs.fedoraproject.org
nishithshah2211,ibvirt,Making virsh more bash like
yatna,"ysters, an Anita Borg Institute Community",Malaria Prevention Application Proposal (Android)
Chris Medrela,umFOCUS,Manage workflow for Software/Data Carpentry instructor training
Balázs Dukai, project for statistical computing,Managing and visualizing movement data with PostGIS and R
haonguyen,pache Software Foundation,Mapping between the GeoTIFF metadata to ISO 19115
Kbluteau, project for statistical computing,Markov Switching GARCH models (MSGARCH)
Patrick Avery,pen Chemistry,Materials Science Advances in Avogadro 2
Jai Agarwal,uildmLearn,mConference Framework
jdetle,ython Software Foundation,MDAnalysis: Dimension Reduction
fiona,ython Software Foundation,MDAnalysis: Introducing capabilities for analysing umbrella sampling simulations
Dhruv Khattar,cilab Enterprises,Memory Safety
liscju,ython Software Foundation,Mercurial: Allow largefiles to be at a different location
Pulkit Goyal,ython Software Foundation,Mercurial: Moving Towards Python3
Anirudh Dahiya,NU Mailman,Message Queue based Archiver
Nikhil Pawar,ifos Initiative,Mifos Credit bureau Integration
Amrutha S,"ysters, an Anita Borg Institute Community",Migrating Volunteer Management System to Class based views and Search Engine Implementation
Rohan Katyal,omputational Science and Engineering at TU Wien,Mind The Word
Ayush Shah,DE,Minuet Mobile
Kseniia,IT Media Lab,Mit App Inventor Android Research Tasks
Medha Chakravarthula,"ysters, an Anita Borg Institute Community",Mobile App Control Center
Abdul Fatir,omputational Biology @ University of Nebraska-Lincoln,Mobile Based Blood Analysis
Daniel Carlson,ifos Initiative,Mobile Money Integration in West and Central Africa.
Andrei Macavei,NOME,Modernising GNOME Keysign
Abhay Chaturvedi,nternational Neuroinformatics Coordinating Facility,Modifying the current neuroshare to hdf5 converter to use the NIX format instead.
Tahir Ramzan,odSecurity,ModSecurity Connector for Apache
m2n,odSecurity,ModSecurity Connector for Node.js
Akhil Koul,odSecurity,ModSecurityv3 IDS connector
klui,age Mathematical Software System,Modular Abelian Variety
Jazzpilz,"rban Energy Systems Laboratory, Empa",Modular Energy Hub Modelling Framework
Sumit Vohra,nternational Neuroinformatics Coordinating Facility,Modular Machine Learning and Classification Toolbox for ImageJ
Ananya B,pen Ephys,Module to control LED driver for Optogenetic Stimulation
Rebecca Lauren Miller,age Mathematical Software System,Moduli Space of Dynamical Systems
Jan-Tarek Butt,reifunk,Monitoring and quality assurance of open wifi networks: the client view
haleyj, project for statistical computing,Mosaicplots in the ggplot2 framework: ggmosaic
DSM_,Fmpeg,Motion Interpolation Filter
zydu,itrivr,Motion-based Retrieval: Feature Extraction
AlexFJW,penKeychain (OpenPGP for Android),Move from Passwords to App Lock Mechanism
Aditya Prakash,uby,Move the Bundler API back into RubyGems.org
paulmorris,ozilla,Mozilla Calendar – Event in a Tab
Arun,ozilla,Mozilla Investigator(MIG): Auditd integration
Mohammad Umair,Fmpeg,MPEG-4 Audio Lossless Coding (ALS) encoder implementation
Pranith Kumar,EMU,MTTCG Memory Consistency
Cartucho,penCV,"Multi-language OpenCV Tutorials in Python, C++ and Java"
Yun-Chih Chen,trace,Multi-platform continuous tests infrastructure
Nelson,"iomedical Informatics, Emory University",Multi-resolution Analysis of Pathology Data with Convolutional Neural Networks (CNNs)
tianwei37,lender Foundation,Multi-view Reconstruction with Witness Camera for Blender
Dmitry Sorokin,ERN SFT,Multistep methods for integrating trajectory in field
ibestvina,ational Resource for Network Biology (NRNB),Multithread Centiscape (#55)
Hemant Kasat,ugar Labs,Music Widgets
meetshah1995,ython Software Foundation,MyHDL  : RISC-V Implementation
Ravi Jain,ython Software Foundation,MyHDL : GEMAC Implementation
srivatsan_r,ython Software Foundation,MyHDL : HDMI Source / Sink Modules + RISC-V Implementation
Pranjal Agrawal,ython Software Foundation,MyHDL : Leros tiny processor
mkatsimpris,ython Software Foundation,MyHDL: JPEG Encoder Frontend
Vikram Raigur,ython Software Foundation,MyHDL:JPEG Encoder Backend
gabry501,SGeo - The Open Source Geospatial Foundation,NASA Web World Wind - Multidimensional Visualization Tool for Environmental Variables
obiajulu,he Julia Language,Native Julia solvers for ordinary differential equations and  improvements to IVP testing suite
leonardojc,cilab Enterprises,Native Scilab Kernel for Jupyter
Prateek_Goel,itrivr,Natural Language Query Interface
Alexandru Pandelea,NOME,Nautilus: Batch renaming
Razvan Chitu,NOME,Nautilus: Integrate file-roller and compressed file management
Irene,"iomedical Informatics, Emory University",Near Duplicate Detection in Medical Image Archives Proposal
arkap,reifunk,netifd extension: external device handlers
Fabien Siron,trace,Netlink socket parsers
Bang,lpack: a scalable C++ machine learning library,Neuroevolution Algorithms Implementation
Minh,DE,Neverland Theme Builder project
kvld,he Apertium Project,New Belarusian-Russian language pair
Jiri Horner,penCV,New camera model and parallel processing for stitching pipeline
dphuang,erkman Center for Internet and Society,New Data Integration Platform
prastut,erkman Center for Internet and Society,New onboarding experience to enhance UX for Teem especially for newcomers.
Sanuj Sharma,hogun Machine Learning Toolbox,New Parameter Framework and Plugin Based Architecture for Shogun
vikasnt,ERN SFT,New Physics Model in Sixtrack package
vicodin,lone Foundation,New Theme Pack
Shruti Gullapuram,CExtractor Development,News Shot Classification and Analysis
roboo,abLua,Next Generation of the LuaRocks test suite
carlosfg,etfilter project,Nftables proposal:  missing features and library improvements
luismurao, project for statistical computing,NicheToolbox: from getting biodiversity data to evaluating species distribution models in a friendly GUI environment.
D.M.,ariaDB,NO PAD collations
0mp,reeBSD,Non-BSM to BSM Conversion Tools
Pradyut,pache Software Foundation,Notebooks for Weather Data Analytics
maya,he NetBSD Foundation,NPF and blacklistd web interface
Sergey,map Security Scanner,NSE Performance Improvement and SSH Support Implementation
coderTrevor,eactOS,NTFS Driver Improvements for ReactOS
Davarresc,pache Software Foundation,Nuxeo repository and Authority connector for Apache ManifoldCF
SamuelLapointe,SGeo - The Open Source Geospatial Foundation,OGC protocols support within OL3-Google-Maps
Zhao Junwang,eph,ON-THE-WIRE ENCRYPTION SUPPORT
Shrumit Mehta,BioPortal for Cancer Genomics,Onco Query Language (OQL) editor
Brendan Egan,SGeo - The Open Source Geospatial Foundation,One bus Away Quick start
gjeet,RL-CAD,Online Geometry Viewer
Rafal Kowalski,OSSASIA,Open Event Orga Server
SaptakS,OSSASIA,Open Event Organizer Server Feature Enhancement
championswimmer,OSSASIA,Open Event Web and Mobile App
Khushboo Mandlecha,"rban Energy Systems Laboratory, Empa",Open source energy simulation database : using MEAN Stack
Gnovi,OSSASIA,Open Source Science Experiments & Data Acquisition System  for Physics Education and Research with ExpEYES - Pocket Science Lab
Aayush Arora,OSSASIA,Open-Event-Webapp
jysi,cGill Space Institute,Open-Source Coding of Models of Microbial S-isotope Fractionation: Exploring Transdisciplinary Scientific Collaboration
Milindu Sanoj Kumarage,ustainable Computing Research Group ( SCoRe ),OpenADS - On the fly insights from the elasticsearch data stream
vludv,penCV,OpenCV dnn module enhancement
Andrejs Jurčenoks,tony Brook University Biomedical Informatics,OpenHealth app development - Public health
stephensturdevant,RPC,OpenLambda: RPC-Aware Storage
AvijitGhosh82,penMRS,OpenMRS Android Client
anastasijam,pache Software Foundation,OPENNLP-840 - Sentiment Analysis Project Proposal
mateusjabour,pen Bioinformatics Foundation,OpenSNP
gdyer,pen Bioinformatics Foundation,openSNP: Extending Quantified-Self Support in openSNP
Vivek Rai,pen Bioinformatics Foundation,openSNP: Linking Phenotypes to SNPs in openSNP
Neez,reifunk,OpenWrt - poWquty (poWer quality)
Wenyan,nternational Neuroinformatics Coordinating Facility,Optimization of neural network simulator via parallelisation
Daniil Leshchev,aneti,Optimize balancing speed by accounting for migration speed
RB,uby,Optional types for Matz's Ruby Interpreter
Gunel Jahangirova,ava Pathfinder Team,Oracle-Based Program Repair
Primož Godec,range – Data Mining Fruitful & Fun,Orange Add-on: Educational Series
sstanovnik,range – Data Mining Fruitful & Fun,Orange.data.Table to pandas migration
amoghbl1,he Tor Project,Orfox
sandyre,SGeo - The Open Source Geospatial Foundation,OSGeo GDAL DWG support
Allan E. Gardner,edora Project,OSTree: Drop privileges for HTTP fetches
Dmytro Trifonov,penMRS,Overhaul the User Management dashboard for ID Dashboard
Kartik Maji,ulip Open Source Project,Overhauling Zulip website’s UX to handle large teams
Vishnu Rao,penMRS,OWA App Store
DarKnight--,WASP Foundation,OWASP OWTF - Health Monitor
Pratik,WASP Foundation,OWASP ZSC - Shellcode for Windows and Code Obfuscation Modules
imjalpreet,wnCloud,ownCloud App for metadata extraction from Images and Introducing Photo Calendar in Gallery
Michael Grosser (stp),wnCloud,ownCloud Demo Improvements
Nathan Vollmer,lender Foundation,P-BVH enhanced vertex painting
Farhaan Bukhsh,edora Project,Pagure
avengerf12,oreboot,Panic room - Take a deep breath
pranavtbhat,he Julia Language,ParallelGraphs: A General Purpose Graph  Processing Library.
Ezequiel Postan,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Parsers implementation and extension of proof compression algorithms from propositional to first-order logic
Dehan de Croos,ealth Information Systems Programme,"Partial rendering of front-end, ReactJS based applications on JVM by using Nashorn engine"
Sitaram Shelke,erformance Co-Pilot,PCP versions of console tools
Akanksha Bodhankar,"ysters, an Anita Borg Institute Community",PCSA Web-App (FirstAide)
Chamika,"ysters, an Anita Borg Institute Community",Peace Corps Safety App - iOS
Rohan Doddaiah,"ysters, an Anita Borg Institute Community",PeaceCorps Safety App (Android)
Peter Whidden,ERN SFT,Performance 3D Web Graphics with Interactive Features for JSRoot
Utkarsh,ython Software Foundation,pgmpy: Hamiltonian Monte Carlo and No U Turn Sampler
chrisittner,ython Software Foundation,pgmpy: Structure Learning from complete data
Yashu Seth,ython Software Foundation,pgmpy: Support for Continuous Random Variables
satwik77,he Monarch Initiative,PhenoPacket Scraper
Rupinderjit Kaur,"ysters, an Anita Borg Institute Community",Photo Language Translator (PLT)
Costin Giorgian,uildmLearn,Physics Simulations
MarcGC,iquid Galaxy Project,PILT (Panoramic Interactive Live Tracker)
tyagi-prashant,NOME,PKCS#11 certificate chooser
rharish,DE,Plasma PublicTransport
boj,RL-CAD,Plate Mode NURBS raytracing
Eric Hung, project for statistical computing,plot.xts for Performance and Risk
trtt,.Org Foundation,Plug the core-apitrace support for performance counters to qapitrace
septen,pen Ephys,Plugin generation GUI with visual interface designer
satyaki3794,he STE||AR Group,Plugin Mechanism for thread schedulers in HPX
asutoshpalai,uby,Plugin system
Chandra,obile Robot Programming Toolkit (MRPT),PnP Algorithms toolkit for MRPT
Ralph Samer,atrobat,Pocket Code - Integrate S2C
Utpal,he LLVM Compiler Infrastructure,Polly as an Analysis Pass in LLVM
AbdealiJK,ikimedia Foundation,Port catimages.py to pywikibot-core
Pradeep Sanjeewa,pache Software Foundation,Port core OS and a subset of the utilities to a new 32-bit microcontroller
therealssj,rupal,Port Google Login Authenticator To Drupal 8
magarcia,penSUSE,Port Jangouts from AngularJS 1.4
Milos Bovan,rupal,Port Mailhandler to Drupal 8
prasunanand,uby Science Foundation,Port Nmatrix to JRuby
Rajdeep Kaur,DE,Porting activities in Qt version of GCompris.
anchal29,rupal,Porting Comment alter module to Drupal 8
Manolis,NU Project,Porting GuixSD to GNU/Hurd
tnishinaga,he Linux Foundation,Porting mainline kernel to ARM Cortex-M7 microcontroller
rahulmahadev,owRISC,Porting OPTEE to lowRISC
henrix (Henrik Langer),eagleBoard.org,Porting the CTAG face2|4 multichannel soundcard drivers to BeagleBoard-X15 (AM5728 SoC). Create library to make use of AM5728 DSPs (C66x).
Jeff Rogers,owRISC,Porting xv6 to the lowRISC platform
charles cui,he NetBSD Foundation,POSIX Test Suite Compliance
haris3301,EMU,Postcopy migration: Recovery from a broken network connection
Malith Jayaweera, project for statistical computing,postCP Package Improvement
sanya,"ysters, an Anita Borg Institute Community",PowerUp (iOS)
Aanchal Somani,"ysters, an Anita Borg Institute Community",PowerUp Proposal
JDeHaan, Foundation,Precise Garbage Collection for D
kebertx,pache Software Foundation,Predicting Criminal Moments with Hidden Markov Models
mahesh dananjaya,SO2,PREDICTIVE ANALYTICS WITH ONLINE DATA FOR WSO2 MACHINE LEARNER
ramcha24,umFOCUS,Presolve Routines for LP and SDP within Convex.jl
varunjoshi,ozilla,Prevent Failures due to Update Races
Supun Arunoda,ational Resource for Network Biology (NRNB),Principal Coordinate Analysis and t-Distributed Stochastic Neighbor Embedding in clusterMaker2
Mathu,OSSIE - The Australian National University's Open-Source Software Innovation and Education,Private medical data comparison functions for similar patient matching
AnnaMuharram,eam Community,Privileged Entity Support to Write Powerful External Components for ejabberd
Michael Skalka,he Linux Foundation,Programmatically Discover Data Center Topology
Ajith Peter,nss-sdr,Project Frisbee : An Antenna Array Receiver Testbed for GNSS-SDR
Emmanuel Hayford Mensah,erkman Center for Internet and Society,Project Lumen
rclakmal,EAMMATES @ National University of Singapore,Project Proposal - Reports+ in TEAMMATES -GSoC 2016
AlminCausevic,pen Source Robotics Foundation,"Project Proposal for ""Graphical interface for inserting plugins during simulation"" Causevic"
Ruchiranga Wickramasinghe,oomla!,Project X: JavaScript Unit Tests: Project Proposal
Maria Sheyanova,he Apertium Project,Project: Adopting a language pair
Dmitry.Bezheckov,pache Software Foundation,Proposal for Apache Open Meetings: OPENMEETINGS-1353
all3fox,Query Foundation,Proposal for commitplease project in jQuery
runnerway,penKeychain (OpenPGP for Android),Proposal for GSoC 2016 - Andrea Torlaschi
niccokunzmann,OSSASIA,Proposal for Knitting and IoT-cloud services
Harshit Bansal,NU Mailman,Proposal for project : Preset List Settings Template(aka Styles)
wonook,pache Software Foundation,Proposal for the Apache REEF project
MikeLing,ozilla,Proposal of Redesign SETA
quixotic,IT Media Lab,Proposed Summer Project
AndreeaBican,BioPortal for Cancer Genomics,Prototype Plugin framework for Authentication
sidthekid,reen Navigation,Prototyping Tool
spacekookie,reifunk,Provide a cryptographic implementation for Qaul.net
Atul Anand,NOME,Proxies in NetworkManager
mmuesly,ava Pathfinder Team,PSYCO for Reactive Systems
DaryaGolovko,penStreetMap,Public Transport Assistant Plugin for JOSM
shagalla,ariaDB,Pushing conditions into non-mergeable views and derived tables in MariaDB
ninjacomics,NU Radio,PyBOMBS & CGRAN Enhancements
Raffael_T,ython Software Foundation,"PyPy: Integration of Async IO, Matrix Multiplication and Unpacking Generalizations for Python 3.5 Semantics"
Ondřej Pešek,SGeo - The Open Source Geospatial Foundation,PyQt implementation of GUI forms generated automatically from XML
TaylorOshan,ython Software Foundation,PySAL: Integrating Poisson count models and spatial effects for spatial interaction modeling.
Oleh Prypin,eph,Python 3 Support for Ceph
